"ID","PARTNER_ID","NAME","ADDRESS","ADDRESS_2","CITY","STATE","POSTAL_CODE","COUNTRY","TIMEZONE","PHONE","EMAIL","FAX","LONGITUDE","LATITUDE","ERROR"
"51dac8b28b3b81f3cf0000c8","51dac894275b24d3e20000d7","Primary location","8, rue Saint-Claude","","Paris","","75003","France","Europe/Paris","+33 (0) 1 44 54 01 58","contact@mor-charpentier/alex@mor-charpentier/philippe@mor-charpentier.com","","2.352133","48.856506","Email: invalid email address: contact@mor-charpentier/alex@mor-charpentier/philippe@mor-charpentier.com"
"5329c6141a1e8637db000084","530d10daebad64dfaa0003f3","Primary Location","Av. Canadá 147 Jardim Canadá","","Nova Lima - Belo Horizonte","Minas Gerais","34.000-000","Brasil","America/Cuiaba","55 + 31 3261-3993","lemosdesagaleria@gmail.com","","-53.2","-10.333333","Foreign key external ID: 530d10daebad64dfaa0003f3 not found for field Partner_Ext_Id__c in entity Account"
"531d2cb9a09a675cf90009be","530d0045221393cae8000052","Primary Location","Carrera 16 # 86A-31","","Bogota","","","Colombia","America/Chicago","Work: +57 1 530 0339 / 616 3863  Mobile Colombia: +57 310 249  5591  Mobile US: 941 448 0918","beatrizesguerra@icloud.com / be@beatrizesguerra-art.com","+57 1 530 0339","-100.445882","39.78373","Email: invalid email address: beatrizesguerra@icloud.com / be@beatrizesguerra-art.com"
"53db6bab7261696be4f50100","53bc3e54776f724867950100","Repetto Gallery","1st floor, 11/12 Dover Street","","London","","W1S 4LJ","United Kingdom","Europe/London","","","","-0.127647","51.507322","Foreign key external ID: 53bc3e54776f724867950100 not found for field Partner_Ext_Id__c in entity Account"
"53e93db4726169471bad0200","53e93c597261692d7fd10100","Paul Donzella","17 White Street","","New York","NY","10013","United States","America/New_York","","","","-74.00554","40.719089","Foreign key external ID: 53e93c597261692d7fd10100 not found for field Partner_Ext_Id__c in entity Account"
"53f357107261691d63dd0200","53f356577261696fdbc90200","Primary Location","Rue Fourmois 9 Fourmoisstraat","","Brussels","","1050","Belgium","Europe/Brussels","+32 2 534 77 72","","","4.351697","50.846556","Foreign key external ID: 53f356577261696fdbc90200 not found for field Partner_Ext_Id__c in entity Account"
"53db66ef7261695c0ed00100","52dd6a762213937b6c0004c0","Repetto Projects","Via Amendola 23","","Acqui Terme",""," 15011","Italy","Europe/Rome","","","","8.467546","44.675145","Foreign key external ID: 52dd6a762213937b6c0004c0 not found for field Partner_Ext_Id__c in entity Account"
"53fba0b77261696ae5430000","53fb9f8c7261697d865c0000","Gallery 1","Weihburggasse 26","","Vienna","","1010","Austria","Europe/Vienna","+43-1-904-2004","","","16.375724","48.205237","Foreign key external ID: 53fb9f8c7261697d865c0000 not found for field Partner_Ext_Id__c in entity Account"
"545d00fd7261692dc57a0300","54510531776f725250540000","Location 2","1505 Genessee Street","","Kansas City ","Missouri ","64102","U.S.","","816-527-0090","jacqueline@billbradygallery.com ","","","","Foreign key external ID: 54510531776f725250540000 not found for field Partner_Ext_Id__c in entity Account"
"546d03397261695aa7cf0200","546d01cf7261693ef6b30200","038711e47be37030e71c6d0a99666f58","1000 Fifth Avenue","","New York","NY","10028","US","America/New_York","","","","-73.98152","40.773104","Foreign key external ID: 546d01cf7261693ef6b30200 not found for field Partner_Ext_Id__c in entity Account"
"5420688272616908caca0100","542065727261697daea40100","Smack Mellon","92 Plymouth Street","","Brooklyn","NY","11201","USA","America/New_York","(718) 834-8761","","","-73.989785","40.703788","Foreign key external ID: 542065727261697daea40100 not found for field Partner_Ext_Id__c in entity Account"
