"ID","ID","PARTNER_ID","NAME","ADDRESS","ADDRESS_2","CITY","STATE","POSTAL_CODE","COUNTRY","TIMEZONE","PHONE","EMAIL","FAX","LONGITUDE","LATITUDE","STATUS"
"a0WM0000005j8iqMAA","4e3c7237de52c800050035c5","4df2336617f2f9000100d1ac","Primary Location","Poststrasse 2","","D-40213 Düsseldorf","","","Germany","Europe/Berlin","","","","10.423447","51.08342","Item Updated"
"a0WM0000005j8irMAA","4e4ae8a0b5bbdf000100408f","4e20b02ee51cad0001000001","Beijing Location","No. 241 Caochangdi Village","Cuigezhuang, Chaoyang District","Beijing","","100015","China","Asia/Shanghai","(86) 10 5127 3220","info@pekinfinearts.com","(8610) 5127 3223","116.5079069","39.9974078","Item Updated"
"a0WM0000005j8isMAA","4ea718d89e64510001000d7e","4ea718a69b67d80001007649","Primary Location","5130 W. Edgewood Pl.","","Los Angeles","CA","90019","US","America/Los_Angeles","1-323-935-3030","info@davidkordanskygallery.com","1-323-935-3031","-118.242727","34.053717","Item Updated"
"a0WM0000005j8itMAA","4ed39993d0e5ec0001007f38","4ed39733f4bb430001005fe1","Rockbund Art Museum","20 Huqiu Road","Huangpu District","Shanghai","","200002","China","Asia/Shanghai","(8621) 3310 9985","info@rockbundartmuseum.org","","121.488892","31.225344","Item Updated"
"a0WM0000005j8iuMAA","5015b5ca0400f800020002b1","4fc80c71aa48fb00010022f7","Primary Location","798 Art District, No. 2 Lane, Jiu Xian Qiao Rd","Chaoyang District","Beijing","","100015","China","Asia/Shanghai","0086-10-59789610","info@tangcontemporary.com","","116.391349","39.905909","Item Updated"
"a0WM0000005j8ivMAA","5063564d7fad370002000360","506355e99996eb0002000357","Paris","","","Paris","France","","","Europe/Paris","+33(0)6 86 48 60 70","","","2.352133","48.856506","Item Updated"
"a0WM0000005j8iwMAA","506b53b4e62a3a00020013b1","506b53604a965f0002001227","Katherine Cone Gallery","","","Los Angeles","CA","","USA","America/Los_Angeles","","","","-118.242727","34.053717","Item Updated"
"a0WM0000005j8ixMAA","4e4abe70b5bbdf0001001e66","4df3bec03798db000101304a","Cape Town Location","3rd Floor Fairweather House","176 Sir Lowry Road, Woodstock","Cape Town","","7915","South Africa","Africa/Johannesburg","+27214627573","cpt@goodman-gallery.com","","18.417248","-33.928905","Item Updated"
"a0WM0000005j8iyMAA","50a9f1bf6731a5f357000544","50776d02fdab61000200021a","Location 1","Galerie Sho HK Masterpieces","Room 104-5, Wilson House, 19-27 Wyndham Street, Central","Hong Kong","","","","Asia/Hong_Kong","+852 2586 1018","info@g-sho.com","+852 2596 0723","114.162813","22.279328","Item Updated"
"a0WM0000005j8izMAA","50b33dd45f4893f56b0004ae","50776cfafdab6100020001aa","Primary Location","Street 8, Alserkal ave, 17","Al Quoz 1","Dubai","","Po Box 18217","United Arab Emirates","Asia/Dubai","+97 1 (0)4 323 5052","info@ivde.net","+ 971 (0) 4 323 6761","55.296196","25.268352","Item Updated"
