"ID","ID","NAME","START_AT","END_AT","ARTWORKS_COUNT","PARTNERS_COUNT","ARTISTS_COUNT","PARTNER_SHOWS_COUNT","PUBLISHED","STATUS"
"a0TM000000AUlvYMAT","511511f55e182126980001fc","London Art Fair 2013","2013-02-16 05:00:00.0","2013-02-20 05:00:00.0","7","1","4","1","true","Item Updated"
"a0TM000000AUlvZMAT","51240f0056c54840370005a4","SCOPE Art Show New York","2013-03-06 05:00:00.0","2013-03-10 05:00:00.0","5","1","2","1","true","Item Updated"
"a0TM000000AUlvaMAD","512411e5a3f6a29871000600","Moving Image","2013-03-07 05:00:00.0","2013-03-10 05:00:00.0","2","1","2","1","true","Item Updated"
"a0TM000000AUlvbMAD","53bc188c726169041e851500","Art Southampton 2014","2014-07-24 04:00:00.0","2014-07-29 03:59:00.0","179","17","81","17","true","Item Updated"
"a0TM000000AUlvcMAD","544f8af27261692d72e90200","Melbourne Art Fair","2014-08-13 12:22:00.0","2014-08-17 12:22:00.0","6","1","4","1","false","Item Updated"
"a0TM000000AUlvdMAD","512410cf3f351b074d0005f4","Independent","2013-03-07 05:00:00.0","2013-03-10 05:00:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlveMAD","5124127476fa9f9518000623","Lille Art Fair","2013-03-07 05:00:00.0","2013-03-10 05:00:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlvfMAD","51687a77a12a786d8e0005cd","London Original Print Fair","2013-04-25 04:00:00.0","2013-04-28 04:00:00.0","17","2","8","2","true","Item Updated"
"a0TM000000AUlvgMAD","515bdcbaea092f003c001b03","Gallery Weekend Berlin","2013-04-25 22:00:00.0","2013-04-27 22:00:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlvhMAD","524f1ce47622dd9e860000e9","PAD London 2013","2013-10-16 04:00:00.0","2013-10-20 04:00:00.0","17","3","12","3","true","Item Updated"
"a0TM000000AUlviMAD","51a5db5f275b24443d000070","Venice Biennale 2013","2013-05-31 22:00:00.0","2013-11-23 23:00:00.0","4","1","1","1","true","Item Updated"
"a0TM000000AUlvjMAD","51d44b3e275b24d14d0002b6","ArtHamptons","2013-07-11 04:00:00.0","2013-07-14 04:00:00.0","17","1","5","1","true","Item Updated"
"a0TM000000AUlvkMAD","520b5bcc9c18db0d960002a7","art berlin contemporary","2013-09-18 23:00:00.0","2013-09-21 23:00:00.0","15","4","4","4","true","Item Updated"
"a0TM000000AUlvlMAD","53231113139b21f0f1000438","Design Days Dubai 2014","2014-03-17 14:23:00.0","2014-03-24 14:23:00.0","5","1","3","1","true","Item Updated"
"a0TM000000AUlvmMAD","51478b338e30f7b84500016e","AIPAD Photography Show 2013","2013-04-04 04:00:00.0","2013-04-07 04:00:00.0","91","10","48","10","true","Item Updated"
"a0TM000000AUlvnMAD","5213a7e77622dd45a70000b9","The Baltimore Summer Antiques Show","2013-08-21 04:00:00.0","2013-08-25 04:00:00.0","27","1","7","1","true","Item Updated"
"a0TM000000AUlvoMAD","5391d527cd530ea38e00004a","Paris Photo 2014","2014-11-13 15:48:00.0","2014-11-16 15:48:00.0","78","2","10","2","false","Item Updated"
"a0TM000000AUlvpMAD","5166c5ec576c22b00600004b","Frieze Week NY 2013 (Frieze, NADA, PULSE)","2013-05-09 04:00:00.0","2013-05-13 04:00:00.0","274","38","109","38","true","Item Updated"
"a0TM000000AUlvqMAD","52617c6c8b3b81f094000013","The Armory Show 2014","2014-03-06 17:00:00.0","2014-03-09 23:00:00.0","1435","140","630","140","true","Item Updated"
"a0TM000000AUlvrMAD","534847c4b202a342a1000008","Frieze NY 2014","2014-05-09 15:00:00.0","2014-05-11 00:00:00.0","743","91","353","91","true","Item Updated"
"a0TM000000AUlvsMAD","55258a747261691dcd8f0600","Papier15","2015-04-23 20:03:00.0","2015-04-26 20:03:00.0","9","1","2","1","true","Item Updated"
"a0TM000000AUlvtMAD","5240a73ca09a672cfe0003a0","(e)merge 2013","2013-10-03 04:00:00.0","2013-10-06 04:00:00.0","5","1","1","1","true","Item Updated"
"a0TM000000AUlvuMAD","5249e5c4c9dc24abc900020f","Korean International Art Fair (KIAF)","2013-09-01 04:00:00.0","2013-09-08 04:00:00.0","7","1","6","1","true","Item Updated"
"a0TM000000AUlvvMAD","5250223ccd530e5cc200042d","ViennaFair 2013","2013-10-09 22:00:00.0","2013-10-12 22:00:00.0","33","3","11","3","true","Item Updated"
"a0TM000000AUlvwMAD","5252f50d275b241bee000077","CONTEXT Art Miami 2013","2013-12-05 05:00:00.0","2013-12-08 05:00:00.0","60","6","23","6","true","Item Updated"
"a0TM000000AUlvxMAD","529306fc8b3b815ba4000137","Art Market Budapest 2013","2013-11-27 23:00:00.0","2013-11-30 23:00:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlvyMAD","525aee82c9dc2425dc000183","Outsider Art Fair Paris","2013-10-24 04:00:00.0","2013-10-27 04:00:00.0","8","1","1","1","true","Item Updated"
"a0TM000000AUlvzMAD","525e9bf39c18db46cf0002a3","Arte Padova","2013-11-15 05:00:00.0","2013-11-18 05:00:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlw0MAD","525e9cb17622dd6ec400003e","ArteGenova","2014-02-14 05:00:00.0","2014-02-17 05:00:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlw1MAD","52614b29b202a383bb00008e","The San Francisco Fall Antiques Show","2013-10-24 04:00:00.0","2013-10-27 04:00:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlw2MAD","52740ce0275b24139b0001f3","SCOPE Miami Beach 2013","2013-12-03 05:00:00.0","2013-12-08 05:00:00.0","26","2","4","2","true","Item Updated"
"a0TM000000AUlw3MAD","5238cc11c9dc2490fa0002a6","The Salon: Art + Design 2013","2013-11-14 05:00:00.0","2013-11-18 05:00:00.0","263","38","141","38","true","Item Updated"
"a0TM000000AUlw4MAD","527e99a2139b213c6200006d","Aqua Art Miami 2013","2013-12-04 05:00:00.0","2013-12-08 05:00:00.0","37","3","16","3","true","Item Updated"
"a0TM000000AUlw5MAD","5283d324c9dc245ee3000143","Miami Project 2013","2013-12-03 05:00:00.0","2013-12-08 05:00:00.0","24","7","19","7","true","Item Updated"
"a0TM000000AUlw6MAD","528c7ea9139b21fe730002ff","Abu Dhabi Art 2013","2013-11-19 23:00:00.0","2013-11-22 23:00:00.0","18","2","10","2","true","Item Updated"
"a0TM000000AUlw7MAD","52938e4ac9dc2415e8000001","LA Art Show ","2014-01-15 05:00:00.0","2014-01-19 05:00:00.0","68","5","23","6","true","Item Updated"
"a0TM000000AUlw8MAD","527d609b139b210bab00026c","NADA Miami Beach 2013","2013-12-05 05:00:00.0","2013-12-08 05:00:00.0","472","58","195","58","true","Item Updated"
"a0TM000000AUlw9MAD","52d55172a09a67bf6e00003e","Art Aspen 2012","2012-08-02 04:00:00.0","2012-08-05 04:00:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlwAMAT","52d5a758b202a3e5fb00018e","photo l.a. 2013","2013-01-17 05:00:00.0","2013-01-21 05:00:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlwBMAT","52de9bae275b24d1b0000481","The International Fine Art and Antiques Dealers Show 2013","2013-10-25 04:00:00.0","2013-10-31 04:00:00.0","16","1","10","1","true","Item Updated"
"a0TM000000AUlwCMAT","52debbf5c9dc24f2a6000052","Art14 London","2014-02-28 05:00:00.0","2014-03-02 05:00:00.0","135","14","51","14","true","Item Updated"
"a0TM000000AUlwDMAT","52f0fcd8a09a67cc390007ef","artgenève 2014","2014-01-30 05:00:00.0","2014-02-02 05:00:00.0","16","1","3","1","true","Item Updated"
"a0TM000000AUlwEMAT","52f8e14a275b24ba38000080","art KARLSRUHE 2014","2014-03-12 23:00:00.0","2014-03-15 23:00:00.0","0","0","0","0","true","Item Updated"
"a0TM000000AUlwFMAT","52fd17dec9dc240bda0004bd","Moving Image New York 2014","2014-03-06 05:00:00.0","2014-03-09 05:00:00.0","29","19","24","19","true","Item Updated"
"a0TM000000AUlwGMAT","53089d289c18db5919000169","VOLTA NY 2014","2014-03-06 18:00:00.0","2014-03-09 12:43:00.0","43","10","11","10","true","Item Updated"
"a0TM000000AUlwHMAT","505797122a5b7500020006a0","The Armory Show 2013","2013-03-07 05:00:00.0","2013-03-10 05:00:00.0","1001","119","427","119","true","Item Updated"
