"ID","PARTNER_ID","NAME","ADDRESS","ADDRESS_2","CITY","STATE","POSTAL_CODE","COUNTRY","TIMEZONE","PHONE","EMAIL","FAX","LONGITUDE","LATITUDE","ERROR"
"4e4ae8a0b5bbdf000100408f","4e20b02ee51cad0001000001","Beijing Location","No. 241 Caochangdi Village","Cuigezhuang, Chaoyang District","Beijing","","100015","CN","Asia/Shanghai","(86) 10 5127 3220","info@pekinfinearts.com","(8610) 5127 3223","116.5079069","39.9974078","Partner Ext Id: more than one record found for external id field: [001M000000ovZVnIAM, 001M000000oilkWIAQ]"
"4ea718d89e64510001000d7e","4ea718a69b67d80001007649","Primary Location","5130 W. Edgewood Pl.","","Los Angeles","CA","90019","US","America/Los_Angeles","1-323-935-3030","info@davidkordanskygallery.com","1-323-935-3031","-118.242727","34.053717","Partner Ext Id: more than one record found for external id field: [001M000000ovZTuIAM, 001M000000oilt9IAA]"
"4ed39993d0e5ec0001007f38","4ed39733f4bb430001005fe1","Rockbund Art Museum","20 Huqiu Road","Huangpu District","Shanghai","","200002","CN","America/Chicago","(8621) 3310 9985","info@rockbundartmuseum.org","","121.48753","31.241106","Partner Ext Id: more than one record found for external id field: [001M000000oimCsIAI, 001M000000ovZWVIA2]"
"5015b5ca0400f800020002b1","4fc80c71aa48fb00010022f7","Primary Location","798 Art District, No. 2 Lane, Jiu Xian Qiao Rd","Chaoyang District","Beijing","","100015","CN","America/Chicago","0086-10-59789610","info@tangcontemporary.com","","-100.445882","39.78373","Partner Ext Id: more than one record found for external id field: [001M000000oilcoIAA, 001M000000ovZYTIA2]"
"5063564d7fad370002000360","506355e99996eb0002000357","Paris","","","Paris","France","","","Europe/Paris","+33(0)6 86 48 60 70","","","2.352133","48.856506","Partner Ext Id: more than one record found for external id field: [001M000000oilapIAA, 001M000000ovZYZIA2]"
"506b53b4e62a3a00020013b1","506b53604a965f0002001227","Katherine Cone Gallery","","","Los Angeles","CA","","US","America/Los_Angeles","","","","-118.242727","34.053717","Partner Ext Id: more than one record found for external id field: [001M000000oiloSIAQ, 001M000000ovZYLIA2]"
"4e4abe70b5bbdf0001001e66","4df3bec03798db000101304a","Cape Town Location","3rd Floor Fairweather House","176 Sir Lowry Road, Woodstock","Cape Town","","7915","ZA","America/Chicago","+27214627573","cpt@goodman-gallery.com","","-100.445882","39.78373","Partner Ext Id: more than one record found for external id field: [001M000000oilJFIAY, 001M000000ovZVQIA2]"
"50b33dd45f4893f56b0004ae","50776cfafdab6100020001aa","Primary Location","Street 8, Alserkal ave, 17","Al Quoz 1","Dubai","","Po Box 18217","AE","America/Chicago","+97 1 (0)4 323 5052","info@ivde.net","+ 971 (0) 4 323 6761","-100.445882","39.78373","Partner Ext Id: more than one record found for external id field: [001M000000oilMMIAY, 001M000000ovZtuIAE]"
"517b1cf67c186576cd000232","517b1ccb15e9c5e719000272","Beijing Location","P. O. Box 8503, 798 Art Zone","No.4 Jiuxianqiao Road, Chaoyang District","Beijing","","100015","CN","America/Chicago","+86 10 8456 2862","info@beijingcommune.com","","-100.445882","39.78373","Partner Ext Id: more than one record found for external id field: [001M000000oilcvIAA, 001M000000ovZp3IAE]"
"518bc689dd4436f0a000001d","516da6a29ad2d3378a000211","Primary Location","Alison Jacques Gallery","16-18 Berners St.","London","","W1T 3LN","UK","Europe/London","+44 (0)20 7631 4720","info@alisonjacquesgallery.com","+44 (0)20 7631 4750","-0.127647","51.507322","Partner Ext Id: more than one record found for external id field: [001M000000ova2jIAA, 001M000000oilOxIAI]"
